incoterm,tipo_produto,peso_kg,valor_usd,volumes,prazo_desembaraco_dias
CIF,maquinas,1669.9,40372.94,55,40
FOB,alimentos,2061.2,29980.41,43,35
DAP,eletronicos,2276.9,19213.77,21,28
EXW,maquinas,4325.2,49583.17,1,59
CFR,eletronicos,942.0,22025.87,49,24
CFR,auto,2213.0,3570.9,18,18
CFR,auto,2426.1,2217.73,41,27
DAP,texteis,3550.4,18989.63,1,35
EXW,maquinas,4735.6,39038.73,10,63
CFR,auto,1462.8,42471.99,27,31
FOB,maquinas,2758.6,23323.37,59,46
DAP,moveis,3732.7,8622.25,5,33
CFR,alimentos,4671.6,30710.39,53,44
EXW,alimentos,3631.6,50329.82,38,53
FOB,maquinas,2695.2,21034.87,36,43
DAP,maquinas,2279.4,19645.75,13,36
CFR,texteis,4280.8,24941.12,21,40
DDP,maquinas,3527.6,48778.83,25,43
DDP,texteis,2479.2,2702.67,33,26
DAP,alimentos,4349.2,52514.33,29,48
EXW,auto,725.1,52320.51,10,34
EXW,maquinas,3908.7,16268.86,40,61
CIF,auto,4297.4,23110.56,21,31
DDP,auto,4437.8,29532.88,35,36
DDP,auto,4605.0,59846.84,48,43
EXW,maquinas,4891.8,45742.0,46,81
DDP,alimentos,4517.6,3236.46,51,29
EXW,alimentos,1795.5,26125.86,16,27
FOB,texteis,879.5,36764.76,25,30
DAP,auto,1207.9,54813.33,10,30
CFR,alimentos,3335.9,53985.06,30,37
CIF,auto,2735.3,4894.78,23,27
CFR,auto,1254.2,50795.58,13,25
CFR,maquinas,537.7,23191.18,23,18
CIF,eletronicos,4889.8,39664.67,18,34
EXW,moveis,4326.0,46809.54,4,55
CIF,texteis,3037.3,21463.1,41,35
FOB,moveis,1256.9,45456.85,50,36
DDP,eletronicos,4517.5,38957.27,20,29
CFR,eletronicos,2900.0,44075.41,6,30
CFR,texteis,1008.0,47297.51,57,36
CIF,moveis,2511.5,16715.38,11,24
CFR,alimentos,3734.1,20653.56,8,30
CFR,eletronicos,708.1,58006.76,56,31
CFR,moveis,1832.0,47545.58,1,23
CIF,moveis,622.3,22430.85,48,24
DDP,alimentos,546.2,14412.4,2,8
DAP,moveis,1643.4,36799.89,42,41
DDP,alimentos,3248.0,7442.22,3,20
EXW,alimentos,4979.7,7409.17,16,43
CFR,alimentos,3354.1,44716.84,35,33
CFR,moveis,3712.6,9694.11,27,31
DAP,maquinas,4695.6,17144.54,45,55
CIF,texteis,2219.7,57058.03,55,39
CIF,moveis,4509.0,38867.2,4,40
CFR,alimentos,953.1,7768.5,55,23
FOB,auto,3199.3,58280.05,4,37
CIF,texteis,4944.2,47325.2,14,47
FOB,moveis,1083.7,52246.88,22,33
FOB,moveis,19.2,51575.16,10,26
FOB,eletronicos,3307.0,2033.92,1,25
CIF,texteis,2946.3,1438.97,17,30
DAP,eletronicos,3729.6,28836.63,50,47
CIF,moveis,2970.4,27394.32,15,30
DDP,moveis,1511.6,38778.77,2,20
EXW,maquinas,4237.3,25863.28,7,50
EXW,eletronicos,1613.9,9325.86,9,26
CIF,moveis,3167.2,33127.21,21,30
CIF,maquinas,2530.2,26096.86,51,42
DDP,eletronicos,4264.7,39229.54,50,33
CFR,maquinas,4441.0,25121.91,53,51
CFR,maquinas,2082.9,6157.61,28,29
FOB,auto,4615.3,4494.43,54,48
EXW,eletronicos,2162.2,44803.04,24,42
DAP,moveis,2810.6,40365.79,27,39
CIF,auto,4705.9,25664.74,59,43
DAP,alimentos,1761.5,34886.15,14,21
FOB,auto,2413.5,50912.85,23,38
CIF,moveis,1134.7,26032.19,36,24
DAP,moveis,3376.5,33626.02,39,49
CIF,eletronicos,906.2,42310.58,20,21
CIF,alimentos,35.5,52256.83,37,21
DDP,auto,4859.2,5959.58,34,32
FOB,maquinas,2102.1,20783.31,24,35
DAP,moveis,429.4,3630.23,11,18
DAP,eletronicos,3371.5,16690.12,43,37
CFR,alimentos,1081.8,30984.61,23,22
CFR,eletronicos,1419.8,40869.93,32,26
FOB,maquinas,4922.3,3759.53,14,45
CIF,texteis,3837.9,45967.57,19,40
DDP,maquinas,882.6,23122.34,46,28
FOB,moveis,2795.8,40248.87,23,42
EXW,maquinas,98.6,55309.16,56,53
CIF,moveis,2149.3,24563.16,41,30
EXW,alimentos,863.5,56883.05,30,36
DDP,alimentos,445.2,50746.82,16,16
EXW,maquinas,4353.3,44875.39,15,65
CIF,texteis,386.5,38176.87,34,22
CIF,alimentos,3638.3,49227.44,53,37
FOB,texteis,518.5,15730.11,12,18
DDP,eletronicos,889.8,46484.46,32,21
CFR,moveis,3800.6,27209.86,60,46
DAP,alimentos,4321.9,37819.44,10,35
CFR,eletronicos,2347.3,38067.41,51,35
DAP,eletronicos,1555.5,27388.87,4,24
CIF,alimentos,388.3,51922.88,55,28
CFR,maquinas,2903.7,57276.77,48,51
EXW,maquinas,4545.7,34513.57,13,61
FOB,eletronicos,2255.4,48752.53,54,44
CIF,auto,426.2,38944.56,3,17
CFR,moveis,2616.1,9945.4,24,30
CIF,maquinas,2046.8,20632.85,39,36
CIF,eletronicos,1651.8,33698.81,25,26
CIF,alimentos,3620.0,39565.56,59,36
EXW,moveis,3319.7,55046.41,20,52
DDP,auto,3312.4,8172.62,46,31
CFR,auto,3959.4,48884.49,43,43
DDP,auto,4985.8,54790.66,6,34
CIF,eletronicos,1816.2,11225.64,14,18
CIF,maquinas,964.1,59998.61,10,32
EXW,moveis,3855.5,50189.63,57,69
DAP,eletronicos,3311.3,52645.37,40,47
FOB,texteis,4157.6,46380.32,52,59
FOB,auto,2191.2,24946.09,44,35
DAP,alimentos,3763.2,47136.12,15,32
DAP,texteis,1550.8,48613.12,31,41
DDP,moveis,4922.3,27969.96,19,34
CFR,moveis,2639.7,57992.96,53,44
CIF,eletronicos,3207.7,52509.96,36,39
EXW,auto,4230.2,51144.38,19,56
CFR,moveis,741.0,26529.62,59,31
FOB,maquinas,4423.7,55863.08,27,61
FOB,maquinas,4972.7,22807.3,2,47
CIF,eletronicos,4196.7,39172.66,51,41
CFR,auto,4156.4,45651.05,31,42
CFR,moveis,31.2,5213.93,17,14
DDP,moveis,2641.2,7115.62,19,24
FOB,alimentos,613.6,14687.15,41,23
EXW,maquinas,2985.7,1477.9,33,46
DAP,texteis,3594.1,17830.68,1,35
CFR,texteis,3323.5,5594.03,24,32
EXW,moveis,2722.7,47291.53,33,50
CFR,eletronicos,3180.2,58871.85,17,34
DDP,eletronicos,1788.7,4519.79,16,17
DAP,auto,3784.6,8437.87,23,34
DAP,alimentos,4068.5,10917.8,50,38
CFR,auto,915.5,8523.73,46,19
CFR,eletronicos,1470.7,3106.47,13,19
CIF,moveis,1994.1,49016.66,31,31
CIF,eletronicos,3767.7,11870.65,23,30
DDP,alimentos,1369.7,48060.87,28,22
CFR,auto,2201.5,57410.48,22,35
CFR,alimentos,4621.9,31396.91,52,39
EXW,auto,2125.4,26121.13,53,48
EXW,eletronicos,1643.0,18090.58,29,35
DAP,auto,2133.4,41541.01,23,32
CIF,moveis,4990.8,16836.04,51,45
EXW,eletronicos,3357.6,24669.51,33,47
EXW,texteis,4244.1,40846.29,29,60
EXW,texteis,340.8,46821.66,24,33
EXW,moveis,771.4,27270.39,24,35
CIF,maquinas,3816.6,34648.35,34,43
CIF,texteis,4802.8,2041.84,12,36
CFR,moveis,1938.0,33919.53,17,28
FOB,moveis,1431.5,55030.5,32,34
FOB,eletronicos,683.0,4906.1,12,18
EXW,auto,4838.0,59201.19,43,67
CIF,auto,329.4,32759.2,58,27
DDP,auto,3190.3,47724.93,33,34
FOB,eletronicos,4925.7,47627.91,16,45
DAP,moveis,1847.7,48317.87,36,39
FOB,moveis,4421.8,4412.01,26,43
DAP,maquinas,3847.0,49488.69,5,49
FOB,alimentos,3213.5,27273.48,44,35
DAP,auto,2941.0,46183.01,9,37
CFR,moveis,4554.0,3797.06,8,30
FOB,alimentos,4674.0,13915.48,34,38
CIF,eletronicos,1256.8,38285.9,36,26
DAP,moveis,471.7,38638.75,38,34
DAP,texteis,860.1,37656.51,58,38
DAP,eletronicos,4127.1,2188.22,3,29
DDP,moveis,1327.0,13043.1,37,20
CFR,auto,2730.2,38693.48,20,33
CFR,texteis,4024.4,41256.96,20,39
FOB,maquinas,2081.0,28134.31,22,38
DAP,texteis,1566.3,43242.59,47,45
CFR,texteis,3804.5,31141.32,7,36
CIF,texteis,2335.0,16414.56,16,27
CFR,moveis,2093.6,57779.81,58,42
FOB,alimentos,4669.1,43407.14,13,39
DAP,maquinas,2496.3,18858.16,2,30
EXW,maquinas,2529.7,58017.85,14,54
CIF,maquinas,2989.6,50649.55,44,45
CFR,alimentos,2685.8,50906.76,28,32
CIF,maquinas,1832.9,24334.61,37,34
DAP,texteis,1815.8,17671.8,25,29
CIF,moveis,3403.6,7569.26,7,26
CFR,alimentos,3975.5,20675.58,24,30
DAP,maquinas,2502.9,3195.55,9,30
DDP,alimentos,4020.8,31400.3,10,24
CIF,moveis,1596.1,23880.8,40,27
DDP,alimentos,2970.7,30685.24,33,23
CIF,maquinas,4079.7,22417.29,44,45
EXW,maquinas,2920.6,47906.91,47,68
DAP,maquinas,1331.3,39507.66,50,43
DAP,moveis,1141.6,3555.63,31,27
DAP,maquinas,743.1,41003.25,3,30
DAP,auto,553.9,1626.77,21,17
FOB,maquinas,2511.6,36882.94,31,45
DDP,auto,316.1,8715.91,14,6
CFR,moveis,1887.2,57422.79,30,32
DAP,alimentos,2733.6,40714.18,56,40
DDP,alimentos,3052.3,11939.72,16,18
CIF,moveis,1496.0,56518.39,20,29
DDP,auto,2447.6,29048.3,36,25
DDP,alimentos,1442.5,34621.87,35,18
CIF,texteis,1455.8,17614.01,46,34
EXW,alimentos,4620.4,39530.34,48,55
DAP,alimentos,4665.5,41922.19,9,39
EXW,moveis,3705.8,14737.28,4,39
DDP,texteis,267.2,25091.43,46,21
CFR,eletronicos,3407.6,8679.29,36,32
DDP,maquinas,2389.9,12367.63,19,26
CIF,alimentos,3231.3,54522.25,6,27
DDP,auto,4252.4,2719.25,59,34
FOB,maquinas,4411.8,10959.43,59,61
CFR,texteis,4683.4,57746.82,60,59
CIF,eletronicos,51.3,34293.73,7,17
CFR,auto,2718.8,29887.79,9,27
DAP,maquinas,1367.8,48624.43,22,40
CIF,auto,935.1,44328.76,51,32
CIF,moveis,3373.6,11993.1,40,36
CFR,moveis,1643.0,24349.58,7,19
FOB,texteis,2389.9,56181.61,1,36
CIF,alimentos,1513.2,43511.51,1,21
CIF,auto,1801.0,14560.0,43,28
CFR,auto,2515.1,53759.54,46,40
CIF,auto,591.5,55009.76,19,23
FOB,maquinas,770.2,44990.22,39,39
CIF,maquinas,3511.2,54811.41,49,47
FOB,texteis,3403.3,35950.96,51,51
EXW,moveis,2236.5,42374.08,5,39
DAP,moveis,1014.8,32431.28,11,25
CIF,moveis,2212.0,40977.57,46,34
DAP,maquinas,4044.4,27479.22,33,53
CFR,maquinas,2821.7,33748.43,44,44
CFR,alimentos,4083.2,44875.37,38,34
EXW,eletronicos,2121.4,42172.9,35,48
EXW,maquinas,163.5,24827.58,50,41
FOB,auto,4891.8,38929.91,27,45
CFR,maquinas,1881.3,41122.46,43,43
DAP,texteis,3269.4,21192.31,12,40
FOB,auto,4893.7,50171.89,49,55
EXW,alimentos,2317.7,43286.09,28,36
FOB,maquinas,1734.1,16901.16,60,43
DDP,eletronicos,165.9,39781.76,40,21
EXW,texteis,1034.4,6503.35,3,19
CFR,moveis,3361.8,52396.64,16,37
FOB,moveis,1090.3,51891.95,4,25
FOB,moveis,4967.4,14432.61,59,53
DAP,auto,4092.8,14595.79,57,46
FOB,auto,2608.6,25106.83,18,36
DDP,texteis,3131.8,25918.43,32,34
EXW,alimentos,4708.2,40444.88,51,54
CFR,texteis,1502.9,11440.8,35,27
CFR,texteis,4247.5,18393.82,46,46
EXW,moveis,2066.3,25282.22,34,44
FOB,maquinas,1218.1,12598.54,42,36
CIF,eletronicos,2680.5,49849.67,4,28
CIF,maquinas,3370.0,36373.86,56,51
DAP,auto,3358.9,13412.48,14,35
CIF,alimentos,4785.3,1412.36,60,37
DDP,maquinas,4572.6,41889.76,46,51
FOB,maquinas,4576.1,33348.72,50,60
DDP,alimentos,1545.6,21898.85,57,26
CFR,maquinas,497.5,58888.45,31,33
FOB,alimentos,1568.0,3220.07,56,26
FOB,auto,733.9,16016.06,60,28
CIF,texteis,985.0,14186.11,37,23
FOB,maquinas,2755.5,56636.14,22,47
DDP,auto,3699.3,27919.33,47,38
CIF,texteis,704.1,33019.51,12,24
DDP,eletronicos,2622.1,50424.58,5,24
DDP,eletronicos,3822.9,25037.34,54,34
FOB,eletronicos,1097.5,27632.57,4,20
DAP,auto,3335.4,37182.9,31,42
DAP,moveis,2059.6,1495.21,47,34
CIF,moveis,4887.5,1519.98,53,40
FOB,eletronicos,4590.7,31700.93,16,39
FOB,moveis,2634.6,49005.26,18,38
CFR,maquinas,2827.2,59418.87,15,40
CIF,auto,4141.2,5296.71,55,37
CFR,maquinas,1889.0,28822.3,41,36
EXW,auto,861.1,30241.57,28,32
EXW,moveis,4596.2,14171.11,58,61
DDP,moveis,2380.1,3270.44,5,18
DAP,moveis,3292.3,11171.59,55,43
CIF,eletronicos,4807.5,35428.65,49,44
EXW,alimentos,816.4,14808.1,54,29
CFR,auto,4483.1,20237.93,49,42
DDP,auto,396.7,44854.67,23,16
EXW,eletronicos,2188.3,50401.14,22,40
DAP,maquinas,4844.8,19919.41,41,57
CIF,maquinas,2455.6,21670.77,25,30
DDP,maquinas,433.0,37307.65,52,31
FOB,auto,372.2,16444.34,25,20
DDP,maquinas,1586.8,6839.78,1,15
CIF,maquinas,1802.8,16551.1,9,26
DAP,moveis,2564.6,6645.93,6,28
CIF,moveis,469.9,36083.61,21,21
CFR,maquinas,3896.9,43628.21,36,49
FOB,moveis,2607.9,41276.3,11,36
CFR,texteis,321.0,26363.24,27,24
CIF,maquinas,3914.4,21986.93,16,37
DAP,texteis,2292.0,8561.63,1,24
CFR,alimentos,4208.9,23103.45,56,37
DDP,moveis,684.9,19579.58,45,24
FOB,maquinas,1574.3,57892.19,21,40
CFR,moveis,3911.0,19890.23,18,37
CFR,alimentos,573.9,34049.11,38,23
DAP,eletronicos,4765.3,27966.52,46,49
FOB,maquinas,3989.4,49961.27,5,50
CFR,auto,2499.0,38183.49,16,26
CIF,auto,774.9,25676.11,25,26
CFR,moveis,2007.0,30643.45,59,39
DDP,maquinas,2720.5,47547.89,24,34
DAP,auto,4572.4,7007.48,16,35
DDP,auto,1778.3,38996.49,3,18
DDP,maquinas,4834.2,20230.0,51,45
CFR,eletronicos,57.7,15894.93,33,18
DDP,moveis,1109.1,22760.11,30,19
DDP,moveis,3453.7,9469.32,2,21
EXW,eletronicos,4157.4,43943.97,23,52
CIF,alimentos,2279.4,12808.61,31,22
DDP,auto,2265.0,4496.87,3,18
DDP,eletronicos,117.8,20913.14,7,11
DDP,texteis,2582.4,33338.66,22,28
DAP,maquinas,4792.5,14295.41,26,52
DDP,maquinas,1980.9,44374.61,57,38
FOB,maquinas,2963.1,23635.73,46,48
DDP,eletronicos,2888.9,48070.39,35,32
FOB,alimentos,1633.3,27724.25,17,23
DDP,alimentos,2986.9,36872.85,38,26
EXW,alimentos,1763.2,27742.7,12,30
CIF,moveis,2952.9,40490.55,21,30
EXW,texteis,1530.4,11391.15,45,43
DAP,texteis,2876.2,25670.81,32,44
DDP,moveis,3468.7,38892.98,12,28
FOB,texteis,1576.3,27334.56,4,26
